country,community_code,metadatafile,tool,document_code,gender,indicator_label,category_label,text,keyword,quote or transcriber's summary,data_container,background information,comments,enumerator_id,confidence_interval
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_F,female,NRM_DEC,NRM_DEC_C,we are still dependent on parents because we are student not started job yet. ,we are student,quote,E.2,,,ENU_2,0.95
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_F,female,NRM_DEC,NRM_DEC_N,"because or urbanization parents become aware and more mobile. Hence, they do not put much restriction on us",they do not put much restriction on us,quote,E.2,,,ENU_2,0.95
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_F,female,ASP,ASP_UNSP,most of the boys in this village study till high school (+12) and go abroad for foreign employment,go abroad for foreign employment,quote,E.4,,,ENU_2,0.95
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_F,female,ASP,ASP_UNSP,we can get better job and establish ourselves, better job ,quote,E.5,,,ENU_2,0.95
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_F,female,ASP,ASP_COL,if we study higher we could do social work,we could do social work,quote,E.5,,,ENU_2,0.95
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_F,female,NRM_INF,NRM_INF_O,"Yes, now parents show same commitment to educating their daughters as their sons",same commitment to educating their daughters as their sons,quote,E.6,,,ENU_2,0.95
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_F,female,NRM_DIV,NRM_DIV_C,"livestock raising poultry farming, raising of goat, cattle, buffalo",,quote,E.7,,,ENU_2,0.95
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_F,female,NRM_DIV,NRM_DIV_C,"vegetable farming, cultivation of maize, paddy, wheat, millet, ",,quote,E.7,,,ENU_2,0.95
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_F,female,GAP,GAP_WID,early marriage is one of the reasons why young girls in this village end their education,,transcriber's summary,E.8,,,ENU_2,0.95
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_F,female,GAP,GAP_WID,"because of household works, girls quit schooling ",,quote,E.8,,,ENU_2,0.95
