country,community_code,metadatafile,tool,document_code,gender,indicator_label,category_label,text,keyword,quote or transcriber's summary,data_container,background information,comments,enumerator_id,confidence interval
UZ,UZ3,GENNOVATE_UZ3.xlsx,FG_E_Aspirations of Youth,UZ3E_M,male,NRM_DEC,NRM_DEC_N,We are too young now to make critical decisions,too young,Quote,E.2,,"I coded this as decision-making because it directly explains why boys are not yet fully autonomous. It is nuanced because the limitation is linked to age, not absolute lack of agency.",ENU_3,0.95
UZ,UZ3,GENNOVATE_UZ3.xlsx,FG_E_Aspirations of Youth,UZ3E_M,male,ASP,ASP_UNSP,We think of going to school positively,positive school,Quote,E.3,,"This is a general positive aspiration toward education, but not tied to one specific job.",ENU_3,0.95
UZ,UZ3,GENNOVATE_UZ3.xlsx,FG_E_Aspirations of Youth,UZ3E_M,male,ASP,ASP_UNSP,This is the most important thing for us,most important,Quote,E.3,,"Schooling is described as centrally important for life progress, so this is a broad aspiration.",ENU_3,0.95
UZ,UZ3,GENNOVATE_UZ3.xlsx,FG_E_Aspirations of Youth,UZ3E_M,male,ASP,ASP_COL,To be able to get a good employment one should be educated and smart,good employment,Quote,E.3,,"This clearly links education to desirable employment, so I coded it as occupational aspiration.",ENU_3,0.95
UZ,UZ3,GENNOVATE_UZ3.xlsx,FG_E_Aspirations of Youth,UZ3E_M,male,GAP,GAP_NON,Everyone completes secondary education,completes secondary,Quote,E.4,,"This suggests broad attainment at least through secondary school, so no clear gap is visible here.",ENU_3,0.85
UZ,UZ3,GENNOVATE_UZ3.xlsx,FG_E_Aspirations of Youth,UZ3E_M,male,GAP,GAP_NON,Most continue education at colleges (vocational school),continue at colleges,Quote,E.4,,"This indicates continued education is common, so I coded this as no clear attainment gap.",ENU_3,0.85
UZ,UZ3,GENNOVATE_UZ3.xlsx,FG_E_Aspirations of Youth,UZ3E_M,male,NRM_EQ,NRM_EQ_YS,That’s the same with girls,same with girls,Quote,E.4,,This directly indicates similar educational pathways for boys and girls.,ENU_3,0.95
UZ,UZ3,GENNOVATE_UZ3.xlsx,FG_E_Aspirations of Youth,UZ3E_M,male,ASP,ASP_COL,Everybody wants to graduate from the University,graduate university,Quote,E.5,,This is a direct aspiration for higher education.,ENU_3,0.95
UZ,UZ3,GENNOVATE_UZ3.xlsx,FG_E_Aspirations of Youth,UZ3E_M,male,GAP,GAP_SML,But how things will work we are not sure,not sure,Quote,E.5,,"This shows some uncertainty about attaining the aspiration, but not a clearly blocked path, so smaller gap.",ENU_3,0.85
UZ,UZ3,GENNOVATE_UZ3.xlsx,FG_E_Aspirations of Youth,UZ3E_M,male,ASP,ASP_UNSP,We all try and study,try and study,Quote,E.5,,This is a broad statement of educational striving.,ENU_3,0.85
UZ,UZ3,GENNOVATE_UZ3.xlsx,FG_E_Aspirations of Youth,UZ3E_M,male,ASP,ASP_COL,We hope we will enroll at the University,enroll university,Quote,E.5,,Strong higher-education aspiration.,ENU_3,0.95
UZ,UZ3,GENNOVATE_UZ3.xlsx,FG_E_Aspirations of Youth,UZ3E_M,male,NRM_EQ,NRM_EQ_YS,"Yes, of course",yes of course,Quote,E.6,,This is part of the response that parents show the same commitment to daughters and sons.,ENU_3,0.85
UZ,UZ3,GENNOVATE_UZ3.xlsx,FG_E_Aspirations of Youth,UZ3E_M,male,NRM_EQ,NRM_EQ_YS,This is what life requires,life requires,Quote,E.6,,This implies equal education is seen as a social necessity.,ENU_3,0.85
UZ,UZ3,GENNOVATE_UZ3.xlsx,FG_E_Aspirations of Youth,UZ3E_M,male,NRM_EQ,NRM_EQ_YS,All parents want to be proud of their children,proud of children,Quote,E.6,,"This supports the idea of equal investment in children, regardless of gender.",ENU_3,0.85
UZ,UZ3,GENNOVATE_UZ3.xlsx,FG_E_Aspirations of Youth,UZ3E_M,male,NRM_INF,NRM_INF_O,We know what to do in the field,know field work,Quote,E.7,,This shows boys’ agricultural knowledge and familiarity with field tasks.,ENU_3,0.95
UZ,UZ3,GENNOVATE_UZ3.xlsx,FG_E_Aspirations of Youth,UZ3E_M,male,NRM_INF,NRM_INF_O,"Digging, cleaning water lines, removing the tops of plants, opening water lines and many others",field tasks,Quote,E.7,,Specific examples of agricultural knowledge and practice.,ENU_3,0.95
UZ,UZ3,GENNOVATE_UZ3.xlsx,FG_E_Aspirations of Youth,UZ3E_M,male,GAP,GAP_WID,Bad health,bad health,Quote,E.8,,"This is listed as one of the reasons youth end their education, so it is an attainment barrier.",ENU_3,0.95
UZ,UZ3,GENNOVATE_UZ3.xlsx,FG_E_Aspirations of Youth,UZ3E_M,male,GAP,GAP_WID,Family problems and financial hardships,family and finances,Quote,E.9,,These are explicitly ranked as the two most important reasons for ending education.,ENU_3,0.95
UZ,UZ3,GENNOVATE_UZ3.xlsx,FG_E_Aspirations of Youth,UZ3E_M,male,ASP,ASP_COL,Someone wants to be a doctor,doctor,Quote,E.10,,Clear occupational aspiration.,ENU_3,0.95
UZ,UZ3,GENNOVATE_UZ3.xlsx,FG_E_Aspirations of Youth,UZ3E_M,male,ASP,ASP_COL,They can work at the store,store work,Quote,E.11,,This describes common occupational destinations after schooling.,ENU_3,0.85
UZ,UZ3,GENNOVATE_UZ3.xlsx,FG_E_Aspirations of Youth,UZ3E_M,male,ASP,ASP_COL,computer club,computer club,Quote,E.11,,This is a specific work pathway and likely aspiration.,ENU_3,0.85
UZ,UZ3,GENNOVATE_UZ3.xlsx,FG_E_Aspirations of Youth,UZ3E_M,male,ASP,ASP_COL,or photographic studio,photographic studio,Quote,E.11,,Another specific employment pathway.,ENU_3,0.85
UZ,UZ3,GENNOVATE_UZ3.xlsx,FG_E_Aspirations of Youth,UZ3E_M,male,NRM_DIV,NRM_DIV_N,But they should work in the field as well and help parents,help parents field,Quote,E.11,,"This suggests continued family agricultural obligation alongside other work, so nuanced labor role.",ENU_3,0.95
UZ,UZ3,GENNOVATE_UZ3.xlsx,FG_E_Aspirations of Youth,UZ3E_M,male,NRM_DIV,NRM_DIV_C,They should help the family in household,help family household,Quote,E.12,,This points to expected family-role obligations after study.,ENU_3,0.85
UZ,UZ3,GENNOVATE_UZ3.xlsx,FG_E_Aspirations of Youth,UZ3E_M,male,ASP,ASP_UNSP,Find employment,find employment,Quote,E.12,,Direct broad employment aspiration.,ENU_3,0.95
UZ,UZ3,GENNOVATE_UZ3.xlsx,FG_E_Aspirations of Youth,UZ3E_M,male,ASP,ASP_BUSS,Arrange some kind of a small business for the beginning,small business,Quote,E.12,,Direct business aspiration.,ENU_3,0.95
UZ,UZ3,GENNOVATE_UZ3.xlsx,FG_E_Aspirations of Youth,UZ3E_M,male,NRM_INF,NRM_INF_O,Development of greenhouses,greenhouses,Quote,E.13,,New agricultural practice recognized in the community.,ENU_3,0.85
UZ,UZ3,GENNOVATE_UZ3.xlsx,FG_E_Aspirations of Youth,UZ3E_M,male,NRM_INF,NRM_INF_O,New kind of wheat,new wheat,Quote,E.13,,New crop innovation recognized locally.,ENU_3,0.85
