country,community_code,metadatafile,tool,document_code,gender,indicator_label,category_label,text,keyword,quote or transcriber's summary,data_container,background information,comments,enumerator_id,confidence interval
UZ,UZ3,GENNOVATE_UZ3.xlsx,FG_E_Aspirations of Youth,UZ3E_F,female,NRM_DEC,NRM_DEC_N,we should take into consideration an advice of our parents too,parents advice,Quote,E.2,,"I coded this as decision-making because girls explain their rating in terms of listening to parents. It is nuanced because advice is considered, but not all decisions are made by parents.",ENU_3,0.95
UZ,UZ3,GENNOVATE_UZ3.xlsx,FG_E_Aspirations of Youth,UZ3E_F,female,NRM_DEC,NRM_DEC_N,some of decisions are making ourselves but not all of them,not all decisions,Quote,E.2,,"This is a strong nuanced agency statement: girls make some decisions, but not all.",ENU_3,0.95
UZ,UZ3,GENNOVATE_UZ3.xlsx,FG_E_Aspirations of Youth,UZ3E_F,female,ASP,ASP_UNSP,even for small children it’s a big pride,big pride,Quote,E.3,,"Education is linked to dignity and status, so broad aspiration.",ENU_3,0.85
UZ,UZ3,GENNOVATE_UZ3.xlsx,FG_E_Aspirations of Youth,UZ3E_F,female,ASP,ASP_UNSP,we need education,need education,Quote,E.3,,Direct statement valuing education.,ENU_3,0.95
UZ,UZ3,GENNOVATE_UZ3.xlsx,FG_E_Aspirations of Youth,UZ3E_F,female,ASP,ASP_UNSP,"we need to go to school for study, for having many friends",school and friends,Quote,E.3,,This reflects positive aspiration for schooling including learning and social life.,ENU_3,0.85
UZ,UZ3,GENNOVATE_UZ3.xlsx,FG_E_Aspirations of Youth,UZ3E_F,female,GAP,GAP_NON,"Basically boys and girls in our district study until finishing college, it’s compulsory education in our country",compulsory education,Quote,E.4,,This suggests no major gender difference through college/vocational completion.,ENU_3,0.85
UZ,UZ3,GENNOVATE_UZ3.xlsx,FG_E_Aspirations of Youth,UZ3E_F,female,GAP,GAP_NON,then some of us want to continue,continue study,Quote,E.4,,Indicates some continue further; no clear gendered gap here.,ENU_3,0.75
UZ,UZ3,GENNOVATE_UZ3.xlsx,FG_E_Aspirations of Youth,UZ3E_F,female,GAP,GAP_SML,but some don’t want to study in the institutes,don’t want institutes,Quote,E.4,,"This may reflect a smaller gap because continuation is not universal, but the reason is not fully structural.",ENU_3,0.75
UZ,UZ3,GENNOVATE_UZ3.xlsx,FG_E_Aspirations of Youth,UZ3E_F,female,ASP,ASP_COL,most of us dream and trying to get high education,high education,Quote,E.5,,This is a direct higher-education aspiration.,ENU_3,0.95
UZ,UZ3,GENNOVATE_UZ3.xlsx,FG_E_Aspirations of Youth,UZ3E_F,female,ASP,ASP_UNSP,we understand that prosperous future is not possible without high education,prosperous future,Quote,E.5,,Broad aspiration for a better future through education.,ENU_3,0.95
