country,community_code,metadatafile,tool,document_code,gender,indicator_label,category_label,text,keyword,quote or transcriber's summary,data_container,background information,comments,enumerator_id,confidence interval
NP,NP1,GENNOVATE_NP1.xlsx,FG_E_Aspirations of Youth,NP1E_F,female,NRM_DEC,NRM_DEC_O,after going to school we learned to make own decisions,own decisions,Quote,E.2,,"This indicates girls’ growing independent agency, so it opposes the norm that women lack decision-making power.",ENU_3,0.95
NP,NP1,GENNOVATE_NP1.xlsx,FG_E_Aspirations of Youth,NP1E_F,female,NRM_INF,NRM_INF_O,our mothers participate in trainings and do share their experiences at home,mothers in trainings,Quote,E.2,,Women gaining and sharing training knowledge suggests access to information rather than exclusion.,ENU_3,0.95
NP,NP1,GENNOVATE_NP1.xlsx,FG_E_Aspirations of Youth,NP1E_F,female,ASP,ASP_UNSP,They motivate us do same thing in future,mothers motivate,Quote,E.2,,This is aspirational because girls are encouraged toward future participation and advancement.,ENU_3,0.95
NP,NP1,GENNOVATE_NP1.xlsx,FG_E_Aspirations of Youth,NP1E_F,female,NRM_MOB,NRM_MOB_C,we need to seek permission from parents while going out with friends,permission to go out,Quote,E.2,,This confirms norms restricting girls’ mobility because movement requires parental permission.,ENU_3,0.95
NP,NP1,GENNOVATE_NP1.xlsx,FG_E_Aspirations of Youth,NP1E_F,female,ASP,ASP_UNSP,"Yes, education is important for us",education important,Quote,E.3,,This is a general positive aspiration toward education without a specific occupation.,ENU_3,0.95
NP,NP1,GENNOVATE_NP1.xlsx,FG_E_Aspirations of Youth,NP1E_F,female,GAP,GAP_NON,most of the boys study till Grade 12 (high school),boys grade 12,Quote,E.4,,This describes boys’ education attainment and does not itself indicate a strong unmet aspiration gap.,ENU_3,0.95
NP,NP1,GENNOVATE_NP1.xlsx,FG_E_Aspirations of Youth,NP1E_F,female,GAP,GAP_NON,girls study till Bachelor Level,girls bachelor,Quote,E.4,,"This suggests comparatively high female attainment, so coded as no clear gap.",ENU_3,0.95
NP,NP1,GENNOVATE_NP1.xlsx,FG_E_Aspirations of Youth,NP1E_F,female,ASP,ASP_COL,both girls and boys should do Master Level and more,master level,Quote,E.5,,This is a clear education aspiration for advanced study for both sexes.,ENU_3,0.95
NP,NP1,GENNOVATE_NP1.xlsx,FG_E_Aspirations of Youth,NP1E_F,female,GAP,GAP_WID,most of the boys end education after +12 (high school) and girls study till Bachelor level,boys stop after +12,Quote,E.5,,"This shows boys’ lower attainment relative to desired higher education, indicating a gap.",ENU_3,0.95
NP,NP1,GENNOVATE_NP1.xlsx,FG_E_Aspirations of Youth,NP1E_F,female,NRM_DIV,NRM_DIV_N,educated women can handle a house easily,house easily,Quote,E.5,,"This links women’s education to domestic capability, reflecting a gendered role expectation while still supporting education.",ENU_3,0.95
NP,NP1,GENNOVATE_NP1.xlsx,FG_E_Aspirations of Youth,NP1E_F,female,ASP,ASP_UNSP,education not only means literate but also gives confidence,gives confidence,Quote,E.5,,This values education as empowerment and self-development rather than a specific job.,ENU_3,0.95
NP,NP1,GENNOVATE_NP1.xlsx,FG_E_Aspirations of Youth,NP1E_F,female,NRM_EQ,NRM_EQ_YS,now every parent treats their children equally,treat equally,Quote,E.6,,This directly expresses support for equality between sons and daughters.,ENU_3,0.95
NP,NP1,GENNOVATE_NP1.xlsx,FG_E_Aspirations of Youth,NP1E_F,female,NRM_EQ,NRM_EQ_YS,now equal for both of them,equal for both,Quote,E.6,,This indicates observed signs of gender equality in schooling.,ENU_3,0.95
NP,NP1,GENNOVATE_NP1.xlsx,FG_E_Aspirations of Youth,NP1E_F,female,NRM_INF,NRM_INF_O,young boys and girls also got opportunity to participate in 1 PM training,boys and girls training,Quote,E.7,,This opposes information restriction because both sexes access training.,ENU_3,0.95
NP,NP1,GENNOVATE_NP1.xlsx,FG_E_Aspirations of Youth,NP1E_F,female,NRM_INF,NRM_INF_O,"our parents, young girls and boys had participated in this training",all participated,Quote,E.7,,This shows inclusive knowledge access in training activities.,ENU_3,0.95
NP,NP1,GENNOVATE_NP1.xlsx,FG_E_Aspirations of Youth,NP1E_F,female,NRM_DIV,NRM_DIV_O,"we help our parents to do seedling plantation during paddy cultivation, weeding and during harvesting crops",girls do field work,Quote,E.7,,"This suggests girls participate in key farm tasks, opposing a rigid labor division.",ENU_3,0.95
NP,NP1,GENNOVATE_NP1.xlsx,FG_E_Aspirations of Youth,NP1E_F,female,GAP,GAP_WID,due to poor economic condition of the family,poor economic condition,Quote,E.8,,"Poverty is a major barrier causing girls to end education, indicating a wide aspiration-attainment gap.",ENU_3,0.95
NP,NP1,GENNOVATE_NP1.xlsx,FG_E_Aspirations of Youth,NP1E_F,female,GAP,GAP_WID,get marry at young age,young age marriage,Quote,E.8,,Early marriage interrupts girls’ education and future aspirations.,ENU_3,0.95
NP,NP1,GENNOVATE_NP1.xlsx,FG_E_Aspirations of Youth,NP1E_F,female,GAP,GAP_WID,lack of awareness among parents,parents unaware,Quote,E.8,,Parental lack of awareness prevents girls’ continued schooling.,ENU_3,0.95
NP,NP1,GENNOVATE_NP1.xlsx,FG_E_Aspirations of Youth,NP1E_F,female,GAP,GAP_WID,inability to study and detain in the class,detain in class,Quote,E.8,,Academic struggle is identified as a barrier to completion.,ENU_3,0.95
NP,NP1,GENNOVATE_NP1.xlsx,FG_E_Aspirations of Youth,NP1E_F,female,GAP,GAP_WID,due to work load at home,work load at home,Quote,E.8,,Domestic work burden keeps girls from continuing education.,ENU_3,0.95
NP,NP1,GENNOVATE_NP1.xlsx,FG_E_Aspirations of Youth,NP1E_F,female,GAP,GAP_WID,parents not educated and marry off at young age,marry off young,Quote,E.8,,Low parental education and early marriage combine to widen girls’ education gap.,ENU_3,0.95
NP,NP1,GENNOVATE_NP1.xlsx,FG_E_Aspirations of Youth,NP1E_F,female,GAP,GAP_WID,poor economic condition of the family and marriage at young age are the important reasons among girls to end education,poverty and marriage,Quote,E.9,,This explicitly identifies the two strongest reasons for girls’ educational discontinuation.,ENU_3,0.95
NP,NP1,GENNOVATE_NP1.xlsx,FG_E_Aspirations of Youth,NP1E_F,female,ASP,ASP_COL,get job in private company,private company job,Quote,E.10,,Clear aspiration for salaried employment.,ENU_3,0.95
NP,NP1,GENNOVATE_NP1.xlsx,FG_E_Aspirations of Youth,NP1E_F,female,ASP,ASP_COL,to become a social worker,social worker,Quote,E.10,,Clear occupational aspiration.,ENU_3,0.95
NP,NP1,GENNOVATE_NP1.xlsx,FG_E_Aspirations of Youth,NP1E_F,female,ASP,ASP_UNSP,do job in any field,any field job,Quote,E.10,,Aspiration for employment without specifying a sector.,ENU_3,0.85
NP,NP1,GENNOVATE_NP1.xlsx,FG_E_Aspirations of Youth,NP1E_F,female,NRM_DIV,NRM_DIV_C,do household work and agricultural activities,household and agriculture,Quote,E.11,,This reflects women’s expected domestic and farm work roles.,ENU_3,0.95
NP,NP1,GENNOVATE_NP1.xlsx,FG_E_Aspirations of Youth,NP1E_F,female,NRM_DEC,NRM_DEC_C,get married,get married,Quote,E.11,,"Marriage is presented as a standard life outcome for young women, limiting further independent pursuits.",ENU_3,0.95
NP,NP1,GENNOVATE_NP1.xlsx,FG_E_Aspirations of Youth,NP1E_F,female,ASP,ASP_COL,do skilled trainings like tailoring and beauty parlor,tailoring beauty parlor,Quote,E.11,,Skill training points to occupational aspirations in gendered service sectors.,ENU_3,0.95
NP,NP1,GENNOVATE_NP1.xlsx,FG_E_Aspirations of Youth,NP1E_F,female,NRM_INF,NRM_INF_O,village women are getting opportunity to participate in trainings and excursions for agricultural development,women trainings,Quote,E.13,,This shows women are gaining information and exposure through formal channels.,ENU_3,0.95
NP,NP1,GENNOVATE_NP1.xlsx,FG_E_Aspirations of Youth,NP1E_F,female,NRM_INF,NRM_INF_O,off season farming,off season farming,Quote,E.13,,Mention of new agricultural practice indicates some knowledge access.,ENU_3,0.95
NP,NP1,GENNOVATE_NP1.xlsx,FG_E_Aspirations of Youth,NP1E_F,female,NRM_MEN,NRM_MEN_N,maize cultivation and buffalo raising are important practice for women in the community,maize and buffalo,Quote,E.14,,"Shows women involved in important productive activities, which nuances men-as-better-farmers norm.",ENU_3,0.95
NP,NP1,GENNOVATE_NP1.xlsx,FG_E_Aspirations of Youth,NP1E_F,female,NRM_INF,NRM_INF_O,now calf are born through IBF fertilization,IBF fertilization,Quote,E.14,,New livestock knowledge/practice is recognized by women.,ENU_3,0.95
NP,NP1,GENNOVATE_NP1.xlsx,FG_E_Aspirations of Youth,NP1E_F,female,ASP,ASP_TRAD,earn more profits from maize cultivation,profits maize,Quote,E.14,,This is an agricultural livelihood aspiration toward increased returns from farming.,ENU_3,0.95
NP,NP1,GENNOVATE_NP1.xlsx,FG_E_Aspirations of Youth,NP1E_F,female,NRM_MEN,NRM_MEN_C,tractor and thresher are important for men because they can plough land with an ease,tractor men,Quote,E.14,,This confirms male association with heavy mechanized farming.,ENU_3,0.95
NP,NP1,GENNOVATE_NP1.xlsx,FG_E_Aspirations of Youth,NP1E_F,female,NRM_INF,NRM_INF_O,"women are getting more opportunities such as girls do further education, opportunities to join trainings and excursions, forming groups and associations in the village",more opportunities,Quote,E.15,,This directly opposes information/opportunity exclusion for women.,ENU_3,0.95
NP,NP1,GENNOVATE_NP1.xlsx,FG_E_Aspirations of Youth,NP1E_F,female,ASP,ASP_COL,girls do further education,girls further education,Quote,E.15,,This reflects educational aspiration and opportunity for girls.,ENU_3,0.95
NP,NP1,GENNOVATE_NP1.xlsx,FG_E_Aspirations of Youth,NP1E_F,female,NRM_DIV,NRM_DIV_C,girls will not be allowed to do,girls not allowed,Quote,E.20,,This confirms a gendered restriction on what girls may do in farming/selling.,ENU_3,0.95
