country,community_code,metadatafile,tool,document_code,gender,indicator_label,category_label,text,keyword,quote or transcriber's summary,data_container,background information,comments,enumerator_id,confidence interval
BD,BD6,GENNOVATE_BD6.xlsx,FG_E_Aspirations of Youth,BD6E_M,male,GAP,GAP_SML,I wish I could have completed my education and start a professional career. And I am educating myself ,educating myself ,quote,E.10,,,ENU_2,0.95
BD,BD6,GENNOVATE_BD6.xlsx,FG_E_Aspirations of Youth,BD6E_M,male,ASP,ASP_COL,I wish I could have completed my education and start a professional career,professional career,quote,E.10,,,ENU_2,0.95
BD,BD6,GENNOVATE_BD6.xlsx,FG_E_Aspirations of Youth,BD6E_M,male,GAP,GAP_SML,I wanted to be a teacher. But I could not continue my schooling because of financial crisis in the family. I got some training in electrical works after stopping my schooling. Now I have a small electrical shop in the local market. ,training in electrical works,quote,E.10,,,ENU_2,0.95
BD,BD6,GENNOVATE_BD6.xlsx,FG_E_Aspirations of Youth,BD6E_M,male,ASP,ASP_UNSP,I want to complete my higher education firs then I want to enter in job market.,job market,quote,E.10,,,ENU_2,0.95
BD,BD6,GENNOVATE_BD6.xlsx,FG_E_Aspirations of Youth,BD6E_M,male,GAP,GAP_SML,Most youths entered to agricultural work and other petty trades when they are no longer students. ,agricultural work; other petty trades,quote,E.11,"""youths"" in this focus group refers to ""young men""",,ENU_2,0.95
BD,BD6,GENNOVATE_BD6.xlsx,FG_E_Aspirations of Youth,BD6E_M,male,GAP,GAP_SML,Some youths are migrating to XX city and abroad,migrating to XX city and abroad,quote,E.11,"""youths"" in this focus group refers to ""young men""",,ENU_2,0.95
BD,BD6,GENNOVATE_BD6.xlsx,FG_E_Aspirations of Youth,BD6E_M,male,GAP,GAP_NON,Some youths try to get private professional jobs those have obtained bachelor degree,private professional jobs,quote,E.11,"""youths"" in this focus group refers to ""young men""",,ENU_2,0.95
BD,BD6,GENNOVATE_BD6.xlsx,FG_E_Aspirations of Youth,BD6E_M,male,GAP,GAP_SML,"Many youths get self employed and drive autos, easy bike and Nochhimon or rickshaw/van nowadays",self employed,quote,E.11,"""youths"" in this focus group refers to ""young men""",,ENU_2,0.95
BD,BD6,GENNOVATE_BD6.xlsx,FG_E_Aspirations of Youth,BD6E_M,male,GAP,GAP_WID,Some also sell their labor during peak season,sell labour,quote,E.11,,,ENU_2,0.95
BD,BD6,GENNOVATE_BD6.xlsx,FG_E_Aspirations of Youth,BD6E_M,male,GAP,GAP_SML,when there is no local agricultural work available some youths start small shops or start fishing business,small shop; fishing,quote,E.11,,,ENU_2,0.95
