indicator,indicator_label,indicator_category,category_label,category_value
Occupational aspirations by young women and men,ASP,Expression of not having aspirations,ASP_NON,1
Occupational aspirations by young women and men,ASP,aspirations in the domain of i) traditional agriculture and/or homemaker,ASP_TRAD,2
Occupational aspirations by young women and men,ASP,"aspirations for a paid job in the domain of ii) modern agriculture, or jobs as an agri-preneur or agricultural professional",ASP_MOD,3
Occupational aspirations by young women and men,ASP,aspirations for a paid job in the domain of iii) blue- or white-collar jobs,ASP_COL,4
Occupational aspirations by young women and men,ASP,aspirations for being a business owner,ASP_BUSS,5
Occupational aspirations by young women and men,ASP,aspirations for a paid job iv) in an unspecified domain,ASP_UNSP,6
Aspiration-attainment gap among young women and men,GAP,no discrepancy between the occupational aspiration and what is/can be achieved,GAP_NON,1
Aspiration-attainment gap among young women and men,GAP,"a discrepancy between the occupational aspiration and what is/can be achieved exists (~small gap:e.g. blue/white collar or modern/professional agriculture/preneur vs low paying job (factory, small shop, petty trade, homecraft (sewing, weaving, brewing...))",GAP_SML,2
Aspiration-attainment gap among young women and men,GAP,a discrepancy between the occupational aspiration and what is/can be achieved exists  (~wide gap: e.g. blue/white collar or modern/professional agriculture/preneur vs marriage or traditional agriculture),GAP_WID,3
Perceptions of gender norms by young women and men: i) ‘Men are (stronger and better) farmers’,NRM_MEN,Confirming norm: Men are (stronger and better) farmers,NRM_MEN_C,3
Perceptions of gender norms by young women and men: i) ‘Men are (stronger and better) farmers’,NRM_MEN,Nuancing norm: Men are (stronger and better) farmers,NRM_MEN_N,2
Perceptions of gender norms by young women and men: i) ‘Men are (stronger and better) farmers’,NRM_MEN,Opposing norm: Men are (stronger and better) farmers,NRM_MEN_O,1
Perceptions of gender norms by young women and men: ii) Norms restricting young women’s mobility ,NRM_MOB,Confirming norms restricting young women’s mobility,NRM_MOB_C,3
Perceptions of gender norms by young women and men: ii) Norms restricting young women’s mobility,NRM_MOB,Nuancing norms restricting young women’s mobility,NRM_MOB_N,2
Perceptions of gender norms by young women and men: ii) Norms restricting young women’s mobility,NRM_MOB,Opposing norms restricting young women’s mobility,NRM_MOB_O,1
Perceptions of gender norms by young women and men: viii) Norms defining the gender division of labour,NRM_DIV,Confirming norms defining the gender division of labour,NRM_DIV_C,3
Perceptions of gender norms by young women and men: viii) Norms defining the gender division of labour,NRM_DIV,Nuancing norms defining the gender division of labour,NRM_DIV_N,2
Perceptions of gender norms by young women and men: viii) Norms defining the gender division of labour,NRM_DIV,Opposing norms defining the gender division of labour,NRM_DIV_O,1
Perceptions of gender norms by young women and men: iii) Norms limiting women’s access to assets and credit,NRM_AST,Confirming norms limiting women’s access to assets and credit,NRM_AST_C,3
Perceptions of gender norms by young women and men: iii) Norms limiting women’s access to assets and credit,NRM_AST,Nuancing norms limiting women’s access to assets and credit,NRM_AST_N,2
Perceptions of gender norms by young women and men: iii) Norms limiting women’s access to assets and credit,NRM_AST,Opposing norms limiting women’s access to assets and credit,NRM_AST_O,1
Perceptions of gender norms by young women and men: iv) Norms limiting women’s access to information,NRM_INF,Confirming norms limiting women’s access to information,NRM_INF_C,3
Perceptions of gender norms by young women and men: iv) Norms limiting women’s access to information,NRM_INF,Nuancing norms limiting women’s access to information,NRM_INF_N,2
Perceptions of gender norms by young women and men: iv) Norms limiting women’s access to information,NRM_INF,Opposing norms limiting women’s access to information,NRM_INF_O,1
Perceptions of gender norms by young women and men: v) Social stigmas against breaking gender norms,NRM_STIG,Confirming existence of social stigmas against breaking gender norms,NRM_STIG_C,3
Perceptions of gender norms by young women and men: v) Social stigmas against breaking gender norms,NRM_STIG,Nuancing existence of social stigmas against breaking gender norms,NRM_STIG_N,2
Perceptions of gender norms by young women and men: v) Social stigmas against breaking gender norms,NRM_STIG,Opposing existence of social stigmas against breaking gender norms,NRM_STIG_O,1
Perceptions of gender norms by young women and men: vi) Norms limiting women's decision-making power and agency,NRM_DEC,Confirming norms limiting women’s decision-making power and agency,NRM_DEC_C,3
Perceptions of gender norms by young women and men: vi) Norms limiting women's decision-making power and agency,NRM_DEC,Nuancing norms limiting women’s  decision-making power and agency,NRM_DEC_N,2
Perceptions of gender norms by young women and men: vi) Norms limiting women's decision-making power and agency,NRM_DEC,Opposing norms limiting women’s  decision-making power and agency,NRM_DEC_O,1
Perceptions of gender norms by young women and men: vii) Perceptions about gender equality,NRM_EQ,Not in favour of/not observing gender equality,NRM_EQ_NO,2
Perceptions of gender norms by young women and men: vii) Perceptions about gender equality,NRM_EQ,In favour of/observing (signs of) gender equality,NRM_EQ_YS,1
