country,community_code,metadatafile,tool,document_code,gender,indicator_label,category_label,text,keyword,quote or transcriber's summary,data_container,background information,comments,enumerator_id,confidence interval
NP,NP1,GENNOVATE_NP1.xlsx,FG_E_Aspirations of Youth,NP1E_M,male,NRM_DEC,NRM_DEC_N,whether to go abroad or to stay in nepal this can be decided by self,decide abroad,Quote,E.2,,Shows young men have some agency in migration decision ? nuanced decision-making power.,ENU_3,0.95
NP,NP1,GENNOVATE_NP1.xlsx,FG_E_Aspirations of Youth,NP1E_M,male,NRM_DEC,NRM_DEC_C,for the most important work we have to discuss and take advice of family or parents,family advice,Quote,E.2,,Major decisions still influenced by parents ? confirms limited independent agency.,ENU_3,0.95
NP,NP1,GENNOVATE_NP1.xlsx,FG_E_Aspirations of Youth,NP1E_M,male,NRM_DEC,NRM_DEC_O,I have to take all decision either which land is to buy or which one is to sell,decides land,Quote,E.2,,Example of individual decision-making power ? opposes norm of restricted agency.,ENU_3,0.95
NP,NP1,GENNOVATE_NP1.xlsx,FG_E_Aspirations of Youth,NP1E_M,male,ASP,ASP_UNSP,to achieve goals so we need to be educated that makes the future easier,education future,Quote,E.3,,Education linked to future aspirations ? aspiration but not specific job.,ENU_3,0.95
NP,NP1,GENNOVATE_NP1.xlsx,FG_E_Aspirations of Youth,NP1E_M,male,ASP,ASP_MOD,technical education would be good,technical education,Quote,E.3,,Aspiration for technical skills ? modern occupation pathway.,ENU_3,0.95
NP,NP1,GENNOVATE_NP1.xlsx,FG_E_Aspirations of Youth,NP1E_M,male,ASP,ASP_UNSP,education makes us job creator,job creator,Quote,E.3,,Aspiration to become entrepreneur/job creator.,ENU_3,0.95
NP,NP1,GENNOVATE_NP1.xlsx,FG_E_Aspirations of Youth,NP1E_M,male,NRM_EQ,NRM_EQ_YS,no any discrimination within son and daughter. Now every parent treats their children equally,equal education,Quote,E.6,,Perception of gender equality in education.,ENU_3,0.95
NP,NP1,GENNOVATE_NP1.xlsx,FG_E_Aspirations of Youth,NP1E_M,male,NRM_EQ,NRM_EQ_N,previously son is admitted to boarding school and daughter to government school. But now equal for both,past discrimination,Quote,E.6,,Indicates past inequality but improving now.,ENU_3,0.95
NP,NP1,GENNOVATE_NP1.xlsx,FG_E_Aspirations of Youth,NP1E_M,male,NRM_INF,NRM_INF_N,compare to boys girls are well informed and they know more than the boys,girls informed,Quote,E.7,,Suggests girls may have more agricultural knowledge ? nuanced information norm.,ENU_3,0.95
NP,NP1,GENNOVATE_NP1.xlsx,FG_E_Aspirations of Youth,NP1E_M,male,NRM_MEN,NRM_MEN_C,girls can’t do but they know more activities than boys,girls can’t do,Quote,E.7,,Suggests women know but men physically capable ? confirms norm men better farmers.,ENU_3,0.95
