country,community_code,metadatafile,tool,document_code,gender,indicator_label,category_label,text,keyword,quote or transcriber's summary,data_container,background information,comments,enumerator_id,confidence_interval
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,GAP,GAP_WID,once they get married maybe they do not have chance to do further studies,they do not have chance to do further studies,quote,E.2,,,ENU_2,0.9
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,GAP,GAP_WID,mostly after marriage they do not study ,,quote,E.2,,,ENU_2,0.9
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,NRM_DIV,NRM_DIV_C,"mostly boys learn how to plant the rice, maize and wheat ",,quote,E.7,,,ENU_2,0.95
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,NRM_DIV,NRM_DIV_C,"girl childs more active in farming and they know how to do weeding, planting, harvesting, storing of crops",,quote,E.7,,,ENU_2,0.95
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,GAP,GAP_WID,early marriage is one of the reasons why young girls in this village end their education,,transcriber's summary,E.8,,,ENU_2,0.95
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,ASP,ASP_COL,do civil service,civil service,quote,E.10,,,ENU_2,0.95
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,ASP,ASP_COL,to do social work,social work,quote,E.10,,,ENU_2,0.95
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,ASP,ASP_UNSP,get good job and earn money,good job,quote,E.10,,,ENU_2,0.95
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,ASP,ASP_UNSP,they go for foreign labour,foreign labour,quote,E.11,,,ENU_2,0.95
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,ASP,ASP_COL,join the British or Indian army,army,quote,E.11,,,ENU_2,0.95
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,ASP,ASP_COL,be a conductor in the bus,coonductor,quote,E.11,,,ENU_2,0.95
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,ASP,ASP_BUSS,have a small business,business,quote,E.11,,,ENU_2,0.95
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,ASP,ASP_COL,government should give or create a job opportunity ,,quote,E.12,,,ENU_2,0.95
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,ASP,ASP_MOD,girls to be involved in commercial farming ,,quote,E.12,,,ENU_2,0.95
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,NRM_INF,NRM_INF_O,women works equally as men ,,quote,E.15,,,ENU_2,0.9
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,NRM_INF,NRM_INF_O,more women are into new technologies than men here ,,quote,E.15,,,ENU_2,0.95
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,NRM_INF,NRM_INF_O,Women are getting more opportunity than men. ,,quote,E.15,,,ENU_2,0.95
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,NRM_INF,NRM_INF_O,They are going to trainings,,quote,E.15,,,ENU_2,0.95
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,NRM_DIV,NRM_DIV_O,both men and women do work together,,quote,E.18,,,ENU_2,0.9
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,NRM_INF,NRM_INF_C,not having enough technical knowledge may hinder the work,,quote,E.18,,,ENU_2,0.9
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,NRM_DEC,NRM_DEC_O,"male female both do in both's plots jointly, decide jointly.",,quote,E.21,,,ENU_2,0.9
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,NRM_DIV,NRM_DIV_O,"male female both do in both's plots jointly, work jointly. ",,quote,E.22,,,ENU_2,0.9
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,NRM_DIV,NRM_DIV_O,There is a culture of shared labor here,,quote,E.23,,,ENU_2,0.95
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,NRM_DEC,NRM_DEC_C,She consults with her husband and if there is no husband she consults with in-laws ,consults,quote,E.24,,,ENU_2,0.9
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,NRM_INF,NRM_INF_C,the husband does not allow,husband does not allow,quote,E.25,,,ENU_2,0.95
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,NRM_INF,NRM_INF_C,she wants to join the group but she is not allowed,,quote,E.25,,,ENU_2,0.95
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,NRM_AST,NRM_AST_C,she would not be allowed to sell,she would not be allowed to sell,quote,E.26,,,ENU_2,0.9
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,NRM_DIV,NRM_DIV_C,asked to take care of the children,,quote,E.26,,,ENU_2,0.9
NP,NP2,GENNOVATE_NP2.xlsx,FG_E_Aspirations of Youth,NP2_M,male,NRM_DIV,NRM_DIV_O,No they both work together in both plots.,,quote,E.27,,,ENU_2,0.9
