country,community_code,metadatafile,tool,document_code,gender,indicator_label,category_label,text,keyword,quote or transcriber's summary,data_container,background information,comments,enumerator_id,confidence_interval
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_F,female,NRM_EQ,NRM_EQ_YS,There should be equal level of education for both girls and boys.,There should be equal level of education,quote,E.5,,,ENU_2,0.95
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_F,female,ASP,ASP_UNSP,If there will be education then life will be easy. We will get jobs and we will prosper,We will get jobs and we will prosper,quote,E.5,,,ENU_2,0.95
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_F,female,NRM_INF,NRM_INF_C,Yes they do discriminate between girls and boys.,,quote,E.6,,,ENU_2,0.8
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_F,female,NRM_INF,NRM_INF_C,They think that girl will get married and go away so ther is no need of giving her education,,quote,E.6,,,ENU_2,0.8
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_F,female,NRM_INF,NRM_INF_C,They discriminate in matter of education otherwise there is same treatment,,quote,E.6,,,ENU_2,0.8
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_F,female,NRM_DIV,NRM_DIV_C,"Girls only take care of their home. They take care of their family, husband and children.",,quote,E.6,,,ENU_2,0.9
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_F,female,NRM_DIV,NRM_DIV_C,"They do different things like weeding, sowing. They also help in cotton picking. They help in harvesting.",,quote,E.7,,,ENU_2,0.9
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_F,female,ASP,ASP_NON,Our relatives were illiterate and poor. They are not wise then how can there be some goal.,They are not wise then how can there be some goal.,quote,E.10,,,ENU_2,0.9
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_F,female,ASP,ASP_UNSP,Everyone wants to progress. I also want to progress., I also want to progress,quote,E.10,,,ENU_2,0.9
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_F,female,NRM_DIV,NRM_DIV_C,Women also work with clay. ,,quote,E.11,,,ENU_2,0.9
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_F,female,NRM_DIV,NRM_DIV_C,They bring grass. ,,quote,E.11,,,ENU_2,0.9
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_F,female,NRM_DIV,NRM_DIV_C,They bring water. ,,quote,E.11,,,ENU_2,0.9
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_F,female,NRM_DIV,NRM_DIV_C,They bring wood. ,,quote,E.11,,,ENU_2,0.9
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_F,female,NRM_DIV,NRM_DIV_C,They also do stitching and other handy crafts. ,,quote,E.11,,,ENU_2,0.9
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_F,female,NRM_DIV,NRM_DIV_C,"They also work in farming like sowing, weeding, and cotton picking. ",,quote,E.11,,,ENU_2,0.9
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_F,female,NRM_DIV,NRM_DIV_C,They also help in sprays and fertilizing land.,,quote,E.11,,,ENU_2,0.9
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_F,female,ASP,ASP_TRAD,Will take care of the children,,quote,E.12,,,ENU_2,0.9
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_F,female,ASP,ASP_TRAD,She will bring up his children in a good way. ,bring up his children,quote,E.12,,,ENU_2,0.9
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_F,female,NRM_INF,NRM_INF_C,Opportunities are only available for men not for women.,only available for men not for women.,quote,E.15,,,ENU_2,0.95
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_F,female,NRM_INF,NRM_INF_O,Yes there are as they keep women with them on fields., they keep women with them on fields,quote,E.15,,,ENU_2,0.95
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_F,female,NRM_DIV,NRM_DIV_O,Men and women decide jointly that how to do the sowing and harvesting., decide jointly,quote,E.18,,,ENU_2,0.95
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_F,female,NRM_MOB,NRM_MOB_C,Only man does to market a women does not go the market for selling., women does not go the market,quote,E.19,,,ENU_2,0.95
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_F,female,NRM_AST,NRM_AST_C,We don’t have loan facility. Even if we get its interest is very high.,We don’t have loan facility,quote,E.19,,,ENU_2,0.95
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_F,female,NRM_DIV,NRM_DIV_C,We take care of the land from sowing till harvesting. ,,quote,E.20,,,ENU_2,0.95
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_F,female,NRM_MOB,NRM_MOB_C,We cannot go to market. This is not our tradition.,We cannot go,quote,E.20,,,ENU_2,0.95
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_F,female,NRM_DIV,NRM_DIV_C,We take care of animals and go out to bring grass,,quote,E.20,,,ENU_2,0.95
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_F,female,NRM_MOB,NRM_MOB_C,we cannot go out to market for selling,we cannot go,quote,E.20,,,ENU_2,0.95
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_F,female,NRM_MOB,NRM_MOB_C,We are not allowed to go to market.,,quote,E.20,,,ENU_2,0.95
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_F,female,NRM_DEC,NRM_DEC_O,We decide together. ,decide together. ,quote,E.21,,,ENU_2,0.95
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_F,female,NRM_DEC,NRM_DEC_O,Husband and wife make decision jointly in our society.,make decision jointly,quote,E.21,,,ENU_2,0.95
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_F,female,NRM_INF,NRM_INF_C,She will ask her parents. ,ask,quote,E.24,"assuming they are seeking expert information, not permission from family members",,ENU_2,0.8
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_F,female,NRM_INF,NRM_INF_C,"She will also consult her brothers, husband and children if she has.",consult,quote,E.24,"assuming they are seeking expert information, not permission from family members",,ENU_2,0.8
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_F,female,NRM_INF,NRM_INF_C,I usually ask my brother ,ask,quote,E.24,"assuming they are seeking expert information, not permission from family members",,ENU_2,0.8
PK,PK7,GENNOVATE_PK7.xlsx,FG_E_Aspirations of Youth,PK7_F,female,NRM_INF,NRM_INF_C,If family members are not available then they ask neighbors. ,ask,quote,E.24,"assuming they are seeking expert information, not permission from family members",,ENU_2,0.8
