document_code,indicator_label,category_label,text,quote or transcriber's summary,data_container,confidence,enumerator,explanation
e.g. IN7E_F,[see codebook],[see codebook],<from transcript>,{choose quote or transcriber's summary},e.g. E.4,[0.65-0.95],{ENU1-ENU3},[optional] <brief explanation why the indicator and category fit the text fragment in the specirfic context.>
synthetic,[see codebook],[see codebook],<made up>,{choose quote or transcriber's summary},e.g. E.4,[0.65-0.95],{ENU1-ENU3},[optional] brief explanation why the indicator and category fit the text fragment in the specirfic context.
synthetic,NRM_STIG,NRM_STIG_C,"If a woman sells crops without her husband's permission, she will be in trouble and be beaten by the man.",quote,E.19,0.95,ENU_2,inspired by answers in the data
ET1E_M,NRM_STIG,NRM_STIG_C,the law empowers women and they can participate in meetings but they don't have the capacity to face challenges as men.,quote,E.15,0.95,ENU_2,inspired by answers in the data
ET1E_M,NRM_STIG,NRM_STIG_C,"the man has the overall power on maize or the other crops. If she sells without his permission, she will be in trouble and can be beaten by the man.",quote,E.19,0.95,ENU_2,inspired by answers in the data
ET1E_M,NRM_STIG,NRM_STIG_C,The land belongs to the man... traditionally women don't plow if a man is in the house.,quote,E.21,0.95,ENU_2,inspired by answers in the data
ET1E_M,NRM_STIG,NRM_STIG_C,he won't let her join even if she is the one who grows the vegetables.,quote,E.25,0.95,ENU_2,inspired by answers in the data
ET1E_M,NRM_STIG,NRM_STIG_C,"If Ana were to ask to sell her vegetables herself, Adam would respond 'what a surprising thing you learned? he may get angry with the idea and argue with her. Finally, if she doesn't accept what he is saying he will beat her.",quote,E.26,0.95,ENU_2,inspired by answers in the data
ET1E_M,NRM_STIG,NRM_STIG_C,"no, he doesn't even recognize that she is working exhaustively; he only focused on the income and meeting the labor demand.",quote,E.27,0.9,ENU_2,inspired by answers in the data
ET1E_M,NRM_STIG,NRM_STIG_C,"The community label her as disobedient, and him as crazy./ They said she is a thief. She is robbing him off what is supposed to be his.",quote,E.28,0.9,ENU_2,inspired by answers in the data
ET1E_M,NRM_STIG,NRM_STIG_C,he is a kind of foolish and unwise person. Label him as lazy one and is a 'woman' who can't decide over his life. / he is like a property not a man.,quote,E.29,0.9,ENU_2,inspired by answers in the data
ET1E_M,NRM_STIG,NRM_STIG_C,men are better than women on calculation of price.,quote,E.33,0.9,ENU_2,inspired by answers in the data
ET1E_M,NRM_STIG,NRM_STIG_C,"She belongs to him, she is his asset and therefore, whatever she brings to the household is also his asset.",quote,E.36,0.9,ENU_2,inspired by answers in the data
ET1E_M,NRM_STIG,NRM_STIG_C,women don't usually travel alone scared of rape and their husband don't allow them to walk alone. it's not positively perceived by the community if a woman travels alone (labeled as mentally unstable),quote,E.38,0.9,ENU_2,inspired by answers in the data
ET1E_M,NRM_STIG,NRM_STIG_C,"she would not be positively seen by the community if she has a husband, family and expected to stay at home taking care of her family.",quote,E.39,0.9,ENU_2,inspired by answers in the data
ET1E_M,NRM_STIG,NRM_STIG_C,she has to reach home early to be safe from rape and violence from her husband.,quote,E.40,0.9,ENU_2,inspired by answers in the data
ET1E_M,NRM_STIG,NRM_STIG_C,woman has to give birth at the early of her twenties because those children from older women (above 22) will be mentally unstable.,quote,E.43,0.9,ENU_2,inspired by answers in the data
ET1E_M,NRM_STIG,NRM_STIG_C,if we do not learn we will be illiterate and have limited access to job opportunities. It is obvious that uneducated person stays at home,quote,E.3,0.9,ENU_2,inspired by answers in the data
ET1E_M,NRM_STIG,NRM_STIG_C,"If not, they often turn out to be thieves and addicts. Their father is a farmer and they will end up being a farmer",quote,E.43,0.9,ENU_2,inspired by answers in the data
ET1E_F,NRM_STIG,NRM_STIG_C,"If you are female they already have decided on your fate. Even in some families, female children are considered as source of income. So her fate whether she liked it or not is decided.",quote,E.2,0.9,ENU_2,inspired by answers in the data
ET1E_F,NRM_STIG,NRM_STIG_C,Women do not own any livestock or crop. They are not allowed to sell anything beyond what she can handle with small basket.,quote,E.16,0.9,ENU_2,inspired by answers in the data
ET1E_F,NRM_STIG,NRM_STIG_C,"He will say, 'who is the man here. How do you know better than me about agriculture?",quote,E.24,0.9,ENU_2,inspired by answers in the data
ET1E_F,NRM_STIG,NRM_STIG_C,She will consult him and even he may refuse. He will replace the father practically so once her boy grows up she will go back to her position and be led by her child.,quote,E.24,0.9,ENU_2,inspired by answers in the data
ET1E_F,NRM_STIG,NRM_STIG_C,He never allows her to go anywhere. How would he allow her to get into such association. He will think 'this is very dangerous. She will learn from other women who think they are assertive,quote,E.25,0.9,ENU_2,inspired by answers in the data
ET1E_F,NRM_STIG,NRM_STIG_C,They like to be the only knowledgeable person.,quote,E.25,0.9,ENU_2,inspired by answers in the data
ET1E_F,NRM_STIG,NRM_STIG_C,"In our culture, men are kings of the house. The father is the main king and the rest are smaller kings… So she cannot feel tired. It is a taboo.",quote,E.26,0.95,ENU_2,inspired by answers in the data
ET1E_F,NRM_STIG,NRM_STIG_C,"Even if he told her to sit, she will never because, she knows that he will call her lazy tomorrow… A woman never has time to sit. It is a taboo",quote,E.27,0.95,ENU_2,inspired by answers in the data
ET1E_F,NRM_STIG,NRM_STIG_C,"In our culture, a woman never go beyond her husband's will… it is his money. He has the right to make decision on the money.",quote,E.28,0.95,ENU_2,inspired by answers in the data
ET1E_F,NRM_STIG,NRM_STIG_C,She is also considered as his property let alone what she brought. Once she is married she no longer is her own person. She has to submit totally to him.,quote,E.36,0.95,ENU_2,inspired by answers in the data
