country,community_code,metadatafile,tool,document_code,gender,indicator_label,category_label,text,keyword,quote or transcriber's summary,data_container,background information,comments,enumerator_id,confidence interval
BD,BD6,GENNOVATE_BD6.xlsx,FG_E_Aspirations of Youth,BD6E_F,female,ASP,ASP_UNSP,I had a wish to be financially independent after finishing my education by entering a job ,entering a job ,quote,E.10,,,ENU_2,0.95
BD,BD6,GENNOVATE_BD6.xlsx,FG_E_Aspirations of Youth,BD6E_F,female,GAP,GAP_WID,that did not happen and marriage took place before that. ,marriage took place,quote,E.10,"""that"" referring to ""entering a job""",,ENU_2,0.95
BD,BD6,GENNOVATE_BD6.xlsx,FG_E_Aspirations of Youth,BD6E_F,female,ASP,ASP_COL,I wished to be a nurse after completing my studies,nurse,quote,E.10,,,ENU_2,0.95
BD,BD6,GENNOVATE_BD6.xlsx,FG_E_Aspirations of Youth,BD6E_F,female,GAP,GAP_WID,I wished to be a nurse after completing my studies but I was married off prior to that,married off,quote,E.10,,,ENU_2,0.95
BD,BD6,GENNOVATE_BD6.xlsx,FG_E_Aspirations of Youth,BD6E_F,female,ASP,ASP_UNSP,I had a wish to get in a good job after completing education,good job,quote,E.10,,,ENU_2,0.95
BD,BD6,GENNOVATE_BD6.xlsx,FG_E_Aspirations of Youth,BD6E_F,female,NRM_DEC,NRM_DEC_N,"Parents in our village don’t let us work at NGOs and tell us to do civilize works, such as, teaching at a primary school, etc. Otherwise they tell us to marry.",don't let us,quote,E.10,,,ENU_2,0.95
BD,BD6,GENNOVATE_BD6.xlsx,FG_E_Aspirations of Youth,BD6E_F,female,ASP,ASP_COL,I want to be a doctor after my education,doctor,quote,E.10,,,ENU_2,0.95
BD,BD6,GENNOVATE_BD6.xlsx,FG_E_Aspirations of Youth,BD6E_F,female,ASP,ASP_COL,My dream is that after my education I will be a nurse or a teacher,nurse or a teacher,quote,E.10,,,ENU_2,0.95
BD,BD6,GENNOVATE_BD6.xlsx,FG_E_Aspirations of Youth,BD6E_F,female,GAP,GAP_WID,I was married off before completing my education. I had a goal to be a teacher.,married off,quote,E.10,,,ENU_2,0.95
BD,BD6,GENNOVATE_BD6.xlsx,FG_E_Aspirations of Youth,BD6E_F,female,ASP,ASP_COL,I had a goal to be a teacher.,teacher,quote,E.10,,,ENU_2,0.95
BD,BD6,GENNOVATE_BD6.xlsx,FG_E_Aspirations of Youth,BD6E_F,female,ASP,ASP_COL,I thought that at least I would pass SSC and then I would work at BRAC. ,work at BRAC,quote,E.10,"SSC stands for Secondary School Certificate, which is a major public examination in Bangladesh held at the end of Grade 10
BRAC (Bangladesh Rural Advancement Committee) is a non-governmental development organization",,ENU_2,0.95
BD,BD6,GENNOVATE_BD6.xlsx,FG_E_Aspirations of Youth,BD6E_F,female,GAP,GAP_WID,"But because of marriage, that did not happen. ",not happen,quote,E.10,"""that"" referring to ""working at an NGO""",,ENU_2,0.95
BD,BD6,GENNOVATE_BD6.xlsx,FG_E_Aspirations of Youth,BD6E_F,female,ASP,ASP_COL,I want to be a lawyer,lawyer,quote,E.10,,,ENU_2,0.95
BD,BD6,GENNOVATE_BD6.xlsx,FG_E_Aspirations of Youth,BD6E_F,female,ASP,ASP_COL,I wanted to be a nurse,nurse,quote,E.10,,,ENU_2,0.95
BD,BD6,GENNOVATE_BD6.xlsx,FG_E_Aspirations of Youth,BD6E_F,female,GAP,GAP_WID,I wanted to be a nurse but I was married off before that.,married off,quote,E.10,,,ENU_2,0.95
BD,BD6,GENNOVATE_BD6.xlsx,FG_E_Aspirations of Youth,BD6E_F,female,ASP,ASP_COL,I want to be a teacher. ,teacher,quote,E.10,,,ENU_2,0.95
BD,BD6,GENNOVATE_BD6.xlsx,FG_E_Aspirations of Youth,BD6E_F,female,GAP,GAP_WID,Most of the women in our village are married off ,married off,quote,E.11,,,ENU_2,0.95
BD,BD6,GENNOVATE_BD6.xlsx,FG_E_Aspirations of Youth,BD6E_F,female,GAP,GAP_WID,"the few girls, who stay with their parents after stopping education, help their parents",,quote,E.11,,,ENU_2,0.95
BD,BD6,GENNOVATE_BD6.xlsx,FG_E_Aspirations of Youth,BD6E_F,female,ASP,ASP_UNSP,"We think after the completion of education of any girl, they should get in a job to become financially independent. Then they should marry.",get in a job,quote,E.12,,,ENU_2,0.95
BD,BD6,GENNOVATE_BD6.xlsx,FG_E_Aspirations of Youth,BD6E_F,female,NRM_INF,NRM_INF_C,"parents in our village do not understand the importance of education, those girls who can study well and get a job later, should make the parents understand so that they let them study. ",do not understand the importance of education,quote,E.12,,,ENU_2,0.95
BD,BD6,GENNOVATE_BD6.xlsx,FG_E_Aspirations of Youth,BD6E_F,female,NRM_INF,NRM_INF_C,Young women do not get as much opportunity as young men when they try to learn about new practices/ technologies/ knowledge/ information ,do not get as much opportunity as young men,quote,E.15,,,ENU_2,0.95
BD,BD6,GENNOVATE_BD6.xlsx,FG_E_Aspirations of Youth,BD6E_F,female,NRM_MOB,NRM_MOB_C,because women cannot go to fields to work. ,women cannot go,quote,E.15,,,ENU_2,0.95
BD,BD6,GENNOVATE_BD6.xlsx,FG_E_Aspirations of Youth,BD6E_F,female,NRM_INF,NRM_INF_O,Women can join in wheat-related training too,Women can ,quote,E.15,,,ENU_2,0.95
