data_container,transcript,quote or transcriber's summary
E.1,Respondents cast a total of 9 votes. 5 of them voted for the 2nd step of the ladder and 4 voted for the 1st step of the ladder . This indicates that females of this village have no or very little power & freedom to make some major life decisions.,transcriber's summary
E.2,We can only go to family/relatives marriages. But we have to take permission from our father. ,quote
E.2,On Eid festivity too we have to seek permission from our father to go somewhere. ,quote
E.2,We can only decide for our dressing. This is our freedom.,quote
E.2,We here in village have no freedom in our lives. Yes sometimes when we go to XX or XX so we have some freedom like we don’t veil ourselves there.,quote
E.2,We can go for shopping with some elder women like our mother but in family decision making we don't have any freedom/say. ,quote
E.2,We have freedom. We may go to shopping or visit any relative,quote
E.2,Here we have freedom at home but not at the village or community level,quote
E.2, I don’t have more freedom but just allowed not to cover my face. We actually don’t have freedom so what to do? ,quote
E.2,We girls are also allowed to attend our schools but exclusively girls’ schools.  ,quote
E.2,All decisions are made by male elders i.e. my father and brothers.,quote
E.2, Just have freedom at household chores/work nothing else. ,quote
E.4,Education is mandatory for all specially for girls. I can make my life better with the help of education. With education a girl can try for some betterment in her hard times. Higher education is necessary for her family and children too. ,quote
E.4,My father and uncles didn’t study. But cousins are studying. My brother is in grade 9th and he will continue his education.,quote
E.4,Education is very significant for us. With education we can be something and we can make our future good.    So this is very important for all but specially for us (girls). My one brother is studying in BS Honors (third year) at XX.  ,quote
E.4," I feel education is equally and essentially important for girls and boys both. My two brothers have completed their education up to Bachelors; maternal uncle is working as Session Judge, one brother is in university.  ",quote
E.4,Two brothers have done their intermediary level education and now studying further. Father and uncles have done their matriculation. ,quote
E.4,Three brothers are at XX these days for tuition. But they study here at college level. One brother studies at XX. ,quote
E.4,"Education is necessary for all of us. We are studying and our brothers are studying too and if they want to quit their studies, my father will never let them do so they have to study anyhow. One brother is doing BS-Engineering at XX. ",quote
E.4,"We, sisters, don’t study as we are not allowed. Our brother has studied till middle (grade 8th) and he is also Hafiz-ul-Quran. ",quote
E.4,Boys can study until and up to whatever level they like. I wish we could have studied too.,quote
E.5,"Both boys and girls can study until they want. They can fight for their rights with higher education. I want to become a teacher. The girls’ and boys’ level of education however, varies case to case and family to family in the community. But generally boys’ education is more prioritized as he is considered the bread earner. ",quote
E.5,Education for both girls and boys should be as higher as it can be. Our parents didn’t get education so now I want everybody (every boy and every girl to be highly educated). Boys are sent to cities and good educational institutes.  ,quote
