country,community_code,metadatafile,tool,document_code,gender,indicator_label,category_label,text,keyword,quote or transcriber's summary,data_container,background information,comments,enumerator_id,confidence interval
IN,IN4,GENNOVATE_IN4.xlsx,FG_E_Aspirations of Youth,IN4E_M,male,NRM_DEC,NRM_DEC_N,We are young and therefore inexperienced and so we consult our parents on almost everything including our studies,consult parents,Quote,E.2,,"This fits decision-making because it explains how youth make choices. I coded it as nuanced rather than fully restrictive because the statement emphasizes consultation, not complete lack of voice.",ENU_3,0.95
IN,IN4,GENNOVATE_IN4.xlsx,FG_E_Aspirations of Youth,IN4E_M,male,NRM_DEC,NRM_DEC_N,Our parents have much more experience and much wiser than us,parents wiser,Quote,E.2,,"This supports the norm that elders should guide decisions. It is a nuanced decision-making norm because youth are not saying they have no role, but that elders should lead.",ENU_3,0.95
IN,IN4,GENNOVATE_IN4.xlsx,FG_E_Aspirations of Youth,IN4E_M,male,NRM_DEC,NRM_DEC_N,We follow our parents and learn from them,follow parents,Quote,E.2,,This reflects deference to parents in decision-making. I coded it as nuanced because it shows guidance and obedience rather than explicit coercion.,ENU_3,0.95
IN,IN4,GENNOVATE_IN4.xlsx,FG_E_Aspirations of Youth,IN4E_M,male,NRM_DEC,NRM_DEC_C,They are our elders and our fathers are the household heads and therefore we must respect them,fathers household heads,Quote,E.2,,"This confirms hierarchical authority, especially male authority, in the household. I coded it as confirming restricted decision-making because fathers are explicitly described as heads.",ENU_3,0.95
IN,IN4,GENNOVATE_IN4.xlsx,FG_E_Aspirations of Youth,IN4E_M,male,NRM_DEC,NRM_DEC_O,I am the head of my family and work hard to support them. So I have the right to take decisions for my family,head of family,Quote,E.2,,This shows individual authority rather than restricted agency. I coded it as opposing restricted decision-making because the speaker claims strong power to decide.,ENU_3,0.85
IN,IN4,GENNOVATE_IN4.xlsx,FG_E_Aspirations of Youth,IN4E_M,male,NRM_DEC,NRM_DEC_N,Once we start earning and contributing to the family expenses then we will be able to have a say in family matters,earning gives say,Quote,E.2,,This links decision-making power to income contribution. It is nuanced because agency is conditional rather than absent.,ENU_3,0.95
IN,IN4,GENNOVATE_IN4.xlsx,FG_E_Aspirations of Youth,IN4E_M,male,NRM_DEC,NRM_DEC_C,But we must consult our parents for all major decisions in life,major decisions parents,Quote,E.2,,This clearly confirms limited youth autonomy over major life choices.,ENU_3,0.95
IN,IN4,GENNOVATE_IN4.xlsx,FG_E_Aspirations of Youth,IN4E_M,male,NRM_DEC,NRM_DEC_N,Once we get a job then we will get the power to make decisions,job brings power,Quote,E.2,,"This is decision-making tied to employment status, so I coded it as nuanced rather than full restriction.",ENU_3,0.95
IN,IN4,GENNOVATE_IN4.xlsx,FG_E_Aspirations of Youth,IN4E_M,male,ASP,ASP_UNSP,Education is important to progress in life,progress in life,Quote,E.3,,"This is a broad life aspiration linked to education, but no specific occupation is named.",ENU_3,0.95
IN,IN4,GENNOVATE_IN4.xlsx,FG_E_Aspirations of Youth,IN4E_M,male,ASP,ASP_UNSP,Education is important to live a good life,good life,Quote,E.3,,This expresses a general aspiration for a better life through education.,ENU_3,0.95
IN,IN4,GENNOVATE_IN4.xlsx,FG_E_Aspirations of Youth,IN4E_M,male,ASP,ASP_COL,It will help us get a good government job,government job,Quote,E.3,,This is a clear occupational aspiration for formal salaried work.,ENU_3,0.95
IN,IN4,GENNOVATE_IN4.xlsx,FG_E_Aspirations of Youth,IN4E_M,male,ASP,ASP_MOD,Nowadays technical knowledge is more important for getting a government job,technical knowledge,Quote,E.3,,"This links aspiration to modern technical skills and employment, so I coded it as modern occupational aspiration.",ENU_3,0.85
